Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Gobo Size,Circuit Name,Circuit#,Cable,Data Cable,Mark,System,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,Scenery,Focus L/R,Focus U/D,Focus Note,US,DS,SR,SL,Top,Bot,Focus Status,Axis,Beam,VW Layer,VW Label Legend,VW Class,VW X Coordinate,VW Y Coordinate,VW Z Coordinate,VW Symbol Rotation,VW Focus Point,Order of Light within Position,Lightwright ID,Vectorworks UID,Symbol,On Light Plot,Universe,DMX#,Dimmer Phase,Position Order,Work Note Status,Device Type,Color Frame,"When, What, and Who Changed",Position & Unit#,Instrument Type & Accessory,Instrument Type & Load,Instrument Type & Accessory & Load,Circuit Name & Circuit#,Color & Gobo,Color Flags,DMX Qty,Instrument Type Weight
GENERAL FLOOD,(303),51,2/338,FLOOR LAMP,1,USITT Practical,,,R53,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,PRACTICAL,ARCH,"-3'-2""","15'-10""",0',,,1,42BC3E:CE:11:E:Vecto,1063.1.1.0.0,Light SFX USITT Practical,Yes,2,338,,1,,SFX,,3/14/22 at 9:10 PM - Color  by me,FLOOR LAMP #1,USITT Practical,USITT Practical,USITT Practical,,R53,,,
COUCH SPOT,(301),16,17/308,FLOOR LAMP,1,USITT Practical,,,L201,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,PRACTICAL,ARCH,"-7'-1""","15'-10""",0',,,2,651B86:100:11:E:Vecto,1060.1.1.0.0,Light SFX USITT Practical,Yes,17,308,,1,,SFX,,3/14/22 at 9:11 PM - Color  by me,FLOOR LAMP #1,USITT Practical,USITT Practical,USITT Practical,,L201,,,
COUCH FLOOD,(302),17,3/206,FLOOR LAMP,1,USITT Practical,,,L500,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,PRACTICAL,ARCH,"-5'-2""","15'-10""",0',,,3,1FC54C:E7:11:E:Vecto,1062.1.1.0.0,Light SFX USITT Practical,Yes,3,206,,1,,SFX,,3/14/22 at 9:11 PM - Color  by me,FLOOR LAMP #1,USITT Practical,USITT Practical,USITT Practical,,L500,,,
WALL WASH,(101),1,1/120,US WALL,1,Best Par 50,,,L300 L400,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,BEST PAR 50,ARCH,"5'-1""","22'-4""",0',,,1,43FD07:161:11:E:Vecto,1050.1.1.0.0,,Yes,1,120,,2,,Light,,3/14/22 at 8:59 PM - Color  by me,US WALL #1,Best Par 50,Best Par 50,Best Par 50,,L300 L400,,,
WALL WASH,(102),11,3/499,US WALL,2,Best Par 50,,,R36 L500,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,BEST PAR 50,ARCH,"2'-5""","22'-4""",0',,,2,6308C9:149:11:E:Vecto,1052.1.1.0.0,,Yes,3,499,,2,,Light,,3/14/22 at 8:59 PM - Color  by me,US WALL #2,Best Par 50,Best Par 50,Best Par 50,,R36 L500,,,
WALL WASH,(103),12,1/120,US WALL,3,Best Par 50,,,R26 L500,77798,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,BEST PAR 50,ARCH,"0'-2""","22'-5""",0',,,3,2A1828:131:11:E:Vecto,1054.1.1.0.0,,Yes,1,120,,2,,Light,,3/15/22 at 6:02 PM - Gobo  by me,US WALL #3,Best Par 50,Best Par 50,Best Par 50,,"R26 L500, T:77798",,,
WALL WASH,(104),13,4/120,US WALL,4,Best Par 50,,,R26 L500,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,BEST PAR 50,ARCH,"-2'-10""","22'-5""",0',,,4,27AD34:119:11:E:Vecto,1056.1.1.0.0,,Yes,4,120,,2,,Light,,3/14/22 at 8:59 PM - Color  by me,US WALL #4,Best Par 50,Best Par 50,Best Par 50,,R26 L500,,,
TV SPC,(201),14,3/206,HK ISLAND,1,Best Par 50,,,R26,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,BEST PAR 50,ARCH,"4'-4""","14'-9""",0',90°,,1,28304C:179:11:E:Vecto,1046.1.1.0.0,,Yes,3,206,,3,,Light,,3/14/22 at 8:59 PM - Color  by me,HK ISLAND #1,Best Par 50,Best Par 50,Best Par 50,,R26,,,
SL LED BAX,(401),7,1/107,SL US BOOM,1,ETC D40 Vivid SELL40,110w,Light Acc C Clamp,R80,R86663,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,LED PAR,ARCH,"9'-10""","22'-1""",9',180°,,1,511F42:261:11:E:Vecto,1003.1.1.0.1,Light Instr ETC D40 Vivid SELL40,Yes,1,107,,4,,Light,,3/15/22 at 6:02 PM - Color  by me,SL US BOOM #1,ETC D40 Vivid SELL40+Light Acc C Clamp,ETC D40 Vivid SELL40 110w,ETC D40 Vivid SELL40+Light Acc C Clamp 110w,,"R80, T:R86663",,,
SL LED BAX,(402),8,1/108,SL US BOOM,2,ETC D40 Vivid SELL40,110w,Light Acc C Clamp,L200 L500,R78536,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,LED PAR,ARCH,9',"22'-1""",9',180°,,2,2E3812:191:11:E:Vecto,1038.1.1.0.1,Light Instr ETC D40 Vivid SELL40,Yes,1,108,,4,,Light,,3/15/22 at 3:29 PM - Gobo  by me,SL US BOOM #2,ETC D40 Vivid SELL40+Light Acc C Clamp,ETC D40 Vivid SELL40 110w,ETC D40 Vivid SELL40+Light Acc C Clamp 110w,,"L200 L500, T:R78536",,,
SR LED BAX,(403),9,1/109,SR US BOOM,1,ETC D40 Vivid SELL40,110w,Light Acc C Clamp,L500,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,LED PAR,ARCH,"-9'-1""","22'-1""",9',180°,,1,90490:1AB:11:E:Vecto,1036.1.1.0.1,Light Instr ETC D40 Vivid SELL40,Yes,1,109,,5,,Light,,3/14/22 at 8:59 PM - Color  by me,SR US BOOM #1,ETC D40 Vivid SELL40+Light Acc C Clamp,ETC D40 Vivid SELL40 110w,ETC D40 Vivid SELL40+Light Acc C Clamp 110w,,L500,,,
SR LED BAX,(404),10,1/110,SR US BOOM,2,ETC D40 Vivid SELL40,110w,Light Acc C Clamp,L200 L500,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,LED PAR,ARCH,"-9'-10""","22'-1""",9',180°,,2,7ABD58:27B:11:E:Vecto,1001.1.1.0.1,Light Instr ETC D40 Vivid SELL40,Yes,1,110,,5,,Light,,3/14/22 at 8:59 PM - Color  by me,SR US BOOM #2,ETC D40 Vivid SELL40+Light Acc C Clamp,ETC D40 Vivid SELL40 110w,ETC D40 Vivid SELL40+Light Acc C Clamp 110w,,L200 L500,,,
SL ^,(11),1,1/101,SL FOH BOOM,1,ETC Source4 50deg,575w,Light Acc C Clamp,L201 R132,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,SOURCE 4,ARCH,"10'-1""","-6'-4""",10',,,1,6B1AC:1C5:11:E:Vecto,1015.1.1.0.1,Light Instr ETC Source 4 50deg,Yes,1,101,,6,,Light,,3/14/22 at 1:42 PM - Dim  by me,SL FOH BOOM #1,ETC Source4 50deg+Light Acc C Clamp,ETC Source4 50deg 575w,ETC Source4 50deg+Light Acc C Clamp 575w,,L201 R132,,,
CS \,(12),2,1/12,SL FOH BOOM,2,ETC Source4 50deg,575w,Light Acc C Clamp,R132,R83102,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,SOURCE 4,ARCH,"9'-4""","-6'-4""",10',,,2,4A617A:1DF:11:E:Vecto,1013.1.1.0.1,Light Instr ETC Source 4 50deg,Yes,1,12,,6,,Light,,3/15/22 at 3:28 PM - Gobo  by me,SL FOH BOOM #2,ETC Source4 50deg+Light Acc C Clamp,ETC Source4 50deg 575w,ETC Source4 50deg+Light Acc C Clamp 575w,,"R132, T:R83102",,,
SR \,(13),3,1/103,SL FOH BOOM,3,ETC Source4 50deg,575w,Light Acc C Clamp,R132,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,SOURCE 4,ARCH,"8'-7""","-6'-5""",10',,,3,5BC14:1F9:11:E:Vecto,1011.1.1.0.1,Light Instr ETC Source 4 50deg,Yes,1,103,,6,,Light,,3/14/22 at 1:42 PM - Dim  by me,SL FOH BOOM #3,ETC Source4 50deg+Light Acc C Clamp,ETC Source4 50deg 575w,ETC Source4 50deg+Light Acc C Clamp 575w,,R132,,,
SL /,(21),4,1/104,SR FOH BOOM,1,ETC Source4 50deg,575w,Light Acc C Clamp,L201 R132,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,SOURCE 4,ARCH,"-8'-6""","-6'-4""",10',,,1,F5BF9:213:11:E:Vecto,1009.1.1.0.1,Light Instr ETC Source 4 50deg,Yes,1,104,,7,,Light,,3/14/22 at 1:42 PM - Dim  by me,SR FOH BOOM #1,ETC Source4 50deg+Light Acc C Clamp,ETC Source4 50deg 575w,ETC Source4 50deg+Light Acc C Clamp 575w,,L201 R132,,,
CS /,(22),5,3/26,SR FOH BOOM,2,ETC Source4 50deg,575w,Light Acc C Clamp,R132,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,SOURCE 4,ARCH,"-9'-3""","-6'-4""",10',,,2,31E4C2:22D:11:E:Vecto,1007.1.1.0.1,Light Instr ETC Source 4 50deg,Yes,3,26,,7,,Light,,3/14/22 at 1:42 PM - Dim  by me,SR FOH BOOM #2,ETC Source4 50deg+Light Acc C Clamp,ETC Source4 50deg 575w,ETC Source4 50deg+Light Acc C Clamp 575w,,R132,,,
SR ^,(23),6,1/106,SR FOH BOOM,3,ETC Source4 50deg,575w,Light Acc C Clamp,R132,R86752,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,SOURCE 4,ARCH,"-9'-11""","-6'-4""",10',,,3,6B3E67:247:11:E:Vecto,1005.1.1.0.1,Light Instr ETC Source 4 50deg,Yes,1,106,,7,,Light,,3/15/22 at 3:29 PM - Gobo  by me,SR FOH BOOM #3,ETC Source4 50deg+Light Acc C Clamp,ETC Source4 50deg 575w,ETC Source4 50deg+Light Acc C Clamp 575w,,"R132, T:R86752",,,
SHELF LED TAPE,(501),19,1/123,RICHARD'S SHELF,1,Led Tape RGB,,,R381,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,LX,PRACTICAL,ARCH,"2'-11""","10'-9""",0',,,1,1F9A7:563:A:28:Vecto,1072.1.1.0.0,LED TAPE,Yes,1,123,,8,,SFX,,3/14/22 at 9:11 PM - Color  by me,RICHARD'S SHELF #1,Led Tape RGB,Led Tape RGB,Led Tape RGB,,R381,,,
